CONTRACT,work_orders,linked_share_pct,median_response_h,p90_response_h
SP,26616,17.1,44.31666666666667,140.54530555555556
KIPA,7623,0.0,,
KH,6473,17.2,25.757222222222225,139.23388888888888
KT,3553,14.4,31.071666666666665,141.60944444444445
