PRIORITY_ID,work_orders,linked_share_pct,median_response_h,p90_response_h
,31724,14.3,44.31666666666667,140.54530555555556
3.0,5189,13.5,40.65972222222222,140.12094444444446
4.0,5001,12.9,27.295555555555556,138.3662222222223
2.0,966,15.1,26.268055555555556,142.9936111111111
6.0,720,9.6,1.7025,60.69177777777783
1.0,365,5.8,19.143333333333334,56.66361111111111
5.0,300,18.0,40.852222222222224,136.3188888888889
