lag_days,desk_corr,room_corr
0,0.4991126459522491,0.49677295699103685
1,0.28346618340484453,0.31250541642917895
2,0.1261157685671198,0.14812253035766593
3,0.09757461116539713,0.12083252600879324
4,0.10723003475777483,0.10470341661402367
5,0.16639010830567283,0.1634603195780145
6,0.10997930733082119,0.11227345586746494
7,0.033725566743173604,0.051217583369930125
8,0.05650394805811033,0.07015609005743104
9,0.08874317481842742,0.08292705004176296
10,0.10880239521712554,0.08138601175085647
