date,target,naive_pred,occ_model_pred,occ_calendar_pred,residual_calendar,abs_residual_calendar,residual_zscore,anomaly_flag
2025-12-26,0.0,13.714285714285714,13.771872721106217,13.988280679047664,-13.988280679047664,13.988280679047664,-3.1114269440147977,True
2026-05-01,0.0,19.714285714285715,13.773779291596288,13.396333273449033,-13.396333273449033,13.396333273449033,-2.979759503999959,True
2026-04-03,0.0,19.285714285714285,13.775470742709805,12.931723907676504,-12.931723907676504,12.931723907676504,-2.876415988647743,True
2025-12-25,0.0,16.571428571428573,13.771872721106217,12.489826036160645,-12.489826036160645,12.489826036160645,-2.778124213161948,True
2026-05-14,0.0,15.285714285714286,13.771872721106217,11.89592976614571,-11.89592976614571,11.89592976614571,-2.6460232853301107,True
2026-01-01,0.0,9.285714285714286,13.771872721106217,11.86385292245751,-11.86385292245751,11.86385292245751,-2.6388884016356546,True
2026-04-06,0.0,16.714285714285715,13.771872721106217,11.019763132618138,-11.019763132618138,11.019763132618138,-2.4511366846424543,True
2025-12-24,0.0,19.857142857142858,13.771872721106217,10.728507229711726,-10.728507229711726,10.728507229711726,-2.3863523494765353,True
2026-01-06,1.0,10.714285714285714,13.771872721106217,11.049196944232078,-10.049196944232078,10.049196944232078,-2.235252698698606,True
2026-05-07,12.0,14.428571428571429,21.174806263826273,21.38853328703975,-9.388533287039749,9.388533287039749,-2.088300635676411,True
2026-05-27,19.0,16.428571428571427,14.645328436676731,11.205967274512359,7.794032725487641,7.794032725487641,1.7336343172566608,False
2026-05-08,11.0,13.571428571428571,17.73460043671896,18.422897133920056,-7.422897133920056,7.422897133920056,-1.6510822648649817,False
2025-12-11,28.0,21.428571428571427,20.030521424024442,20.587348750758352,7.412651249241648,7.412651249241648,1.6488032627213218,False
2026-01-28,26.0,19.857142857142858,20.85499383409831,19.070120031903073,6.929879968096927,6.929879968096927,1.541419974780856,False
2026-05-05,14.0,16.428571428571427,21.425542249599687,20.801812650048454,-6.801812650048454,6.801812650048454,-1.5129338360504128,False
