date,target,naive_pred,occ_model_pred,occ_calendar_pred,residual_calendar,abs_residual_calendar,residual_zscore,anomaly_flag
2025-12-04,23.0,21.571428571428573,20.72098088259159,21.489676321161337,1.5103236788386631,1.5103236788386631,0.3359427721207335,False
2025-12-05,17.0,21.714285714285715,17.074368825915755,18.136632609878816,-1.1366326098788164,1.1366326098788164,-0.25282230239489173,False
2025-12-08,21.0,20.857142857142858,19.23012209245335,19.016898329596227,1.983101670403773,1.983101670403773,0.4411032428922588,False
2025-12-09,21.0,21.0,20.228220917879174,19.99513767794251,1.004862322057491,1.004862322057491,0.2235125084784767,False
2025-12-10,19.0,21.142857142857142,20.320961466043457,19.14586338588169,-0.14586338588168957,0.14586338588168957,-0.032444535493007756,False
2025-12-11,28.0,21.428571428571427,20.030521424024442,20.587348750758352,7.412651249241648,7.412651249241648,1.6488032627213218,False
2025-12-12,17.0,22.428571428571427,16.371633577251313,17.25295329526936,-0.2529532952693607,0.2529532952693607,-0.0562646487110668,False
2025-12-15,23.0,20.857142857142858,18.853118898909635,18.4732563165227,4.526743683477299,4.526743683477299,1.0068880220938603,False
2025-12-16,20.0,20.857142857142858,20.059390568242137,19.83067605565203,0.16932394434796905,0.16932394434796905,0.037662890443731126,False
2025-12-17,21.0,21.285714285714285,20.047673961850947,18.75380297344232,2.246197026557681,2.246197026557681,0.49962380011903657,False
2025-12-18,22.0,21.285714285714285,20.439807334504206,20.844310855622844,1.1556891443771562,1.1556891443771562,0.2570610659897983,False
2025-12-19,21.0,21.428571428571427,16.56741460647141,17.673050122056654,3.3269498779433455,3.3269498779433455,0.740016713213708,False
2025-12-22,15.0,21.714285714285715,15.890953669372106,14.945888011974489,0.05411198802551098,0.05411198802551098,0.012036182387229841,False
2025-12-23,17.0,19.857142857142858,14.6765330313644,12.934656874394593,4.065343125605407,4.065343125605407,0.9042582450193698,False
2025-12-24,0.0,19.857142857142858,13.771872721106217,10.728507229711726,-10.728507229711726,10.728507229711726,-2.3863523494765353,True
2025-12-25,0.0,16.571428571428573,13.771872721106217,12.489826036160645,-12.489826036160645,12.489826036160645,-2.778124213161948,True
2025-12-26,0.0,13.714285714285714,13.771872721106217,13.988280679047664,-13.988280679047664,13.988280679047664,-3.1114269440147977,True
2025-12-29,14.0,10.714285714285714,15.367914579051144,14.197081566007991,-0.19708156600799143,0.19708156600799143,-0.04383704536071999,False
2025-12-30,18.0,9.571428571428571,15.544545467790837,14.114970756376602,3.885029243623398,3.885029243623398,0.8641508520057972,False
2025-12-31,16.0,9.142857142857142,14.361604233220504,11.588948766027164,4.411051233972836,4.411051233972836,0.9811544374692368,False
2026-01-01,0.0,9.285714285714286,13.771872721106217,11.86385292245751,-11.86385292245751,11.86385292245751,-2.6388884016356546,True
2026-01-02,13.0,6.857142857142857,14.52443091740756,14.451850400889008,-1.4518504008890076,1.4518504008890076,-0.32293650375281774,False
2026-01-05,14.0,8.714285714285714,15.611963440884535,14.013893207676022,-0.013893207676021646,0.013893207676021646,-0.003090279763024454,False
2026-01-06,1.0,10.714285714285714,13.771872721106217,11.049196944232078,-10.049196944232078,10.049196944232078,-2.235252698698606,True
2026-01-07,20.0,10.857142857142858,20.53119923814484,18.76811709660024,1.231882903399761,1.231882903399761,0.27400891828331136,False
2026-01-08,16.0,11.714285714285714,20.7629706284102,21.056384354893392,-5.056384354893392,5.056384354893392,-1.1246965143239656,False
2026-01-09,18.0,11.428571428571429,17.529063696731694,18.14311692837003,-0.14311692837003065,0.14311692837003065,-0.03183363826421772,False
2026-01-12,19.0,11.714285714285714,19.762155885616572,18.984005562927802,0.015994437072198053,0.015994437072198053,0.003557658271421979,False
2026-01-13,18.0,14.428571428571429,20.699900656860265,19.881475570219,-1.8814755702189991,1.8814755702189991,-0.41849845009569475,False
2026-01-14,25.0,15.142857142857142,20.187830218756545,18.38287320883406,6.617126791165941,6.617126791165941,1.4718539799415569,False
2026-01-15,18.0,16.714285714285715,19.540024483962668,19.267500371263594,-1.2675003712635942,1.2675003712635942,-0.2819313464738684,False
2026-01-16,21.0,19.142857142857142,18.02415744743169,18.79292642027924,2.2070735797207597,2.2070735797207597,0.4909215335986442,False
2026-01-19,19.0,19.285714285714285,19.384083428855885,18.481600349055554,0.5183996509444455,0.5183996509444455,0.11530814105927892,False
2026-01-20,22.0,19.714285714285715,20.573440738530604,19.85331967898546,2.1466803210145393,2.1466803210145393,0.47748820203439774,False
2026-01-21,18.0,20.285714285714285,20.61989413218038,18.879343223903046,-0.8793432239030459,0.8793432239030459,-0.19559317278977023,False
2026-01-22,18.0,20.142857142857142,20.529581040742826,20.462633464452914,-2.4626334644529138,2.4626334644529138,-0.5477659685516806,False
2026-01-23,17.0,20.142857142857142,17.29274911578779,17.821089458453642,-0.8210894584536419,0.8210894584536419,-0.18263573080184367,False
2026-01-26,22.0,19.0,17.954051188986327,16.573591034667672,5.426408965332328,5.426408965332328,1.2070014500972923,False
2026-01-27,23.0,19.571428571428573,19.950470312739224,19.077873247394116,3.922126752605884,3.922126752605884,0.8724024871890137,False
2026-01-28,26.0,19.857142857142858,20.85499383409831,19.070120031903073,6.929879968096927,6.929879968096927,1.541419974780856,False
2026-01-29,22.0,20.857142857142858,20.862790349615146,20.941612076153177,1.0583879238468228,1.0583879238468228,0.23541826040204133,False
2026-01-30,16.0,20.857142857142858,17.67702053703764,18.291357434974934,-2.291357434974934,2.291357434974934,-0.5096688739044534,False
2026-02-02,20.0,20.571428571428573,17.349342041840174,15.673672697986566,4.326327302013434,4.326327302013434,0.9623092104717393,False
2026-02-03,23.0,20.857142857142858,19.894891510706543,18.42716219327758,4.5728378067224185,4.5728378067224185,1.0171407829810808,False
2026-02-04,23.0,21.714285714285715,20.195856995352422,17.801745422609432,5.198254577390568,5.198254577390568,1.1562528465823156,False
2026-02-05,20.0,21.857142857142858,20.096310510779965,19.535345369547397,0.46465463045260336,0.46465463045260336,0.10335358361924836,False
2026-02-06,23.0,21.428571428571427,17.971705995862806,18.14239260493876,4.85760739506124,4.85760739506124,1.0804823608578078,False
2026-02-09,21.0,21.0,18.72845500590099,17.130668163296885,3.8693318367031146,3.8693318367031146,0.860659262441392,False
2026-02-10,19.0,20.857142857142858,20.553356675753435,19.239283555839176,-0.23928355583917593,0.23928355583917593,-0.05322407520838856,False
2026-02-11,20.0,21.285714285714285,20.55132846018388,18.313318105855185,1.6866818941448152,1.6866818941448152,0.3751703023292053,False
2026-02-12,16.0,21.285714285714285,19.886941158815066,19.18391940327934,-3.18391940327934,3.18391940327934,-0.708202304931824,False
2026-02-13,15.0,20.285714285714285,16.934054731314667,16.78611903667966,-1.7861190366796613,1.7861190366796613,-0.3972882031361416,False
2026-02-16,19.0,19.142857142857142,19.763508736687612,18.48188477996152,0.5181152200384815,0.5181152200384815,0.11524487481485388,False
2026-02-17,20.0,19.0,19.703114423542512,18.19050123305553,1.8094987669444684,1.8094987669444684,0.4024885793910075,False
2026-02-18,17.0,18.571428571428573,20.02169853659637,17.60733377894908,-0.60733377894908,0.60733377894908,-0.135089846078292,False
2026-02-19,22.0,18.0,20.43617165984058,19.9801938968068,2.0198061031932006,2.0198061031932006,0.44926744575364863,False
2026-02-20,21.0,18.428571428571427,16.70815151862491,16.721177362918514,4.278822637081486,4.278822637081486,0.9517427014184109,False
2026-02-23,21.0,18.571428571428573,17.81779690922396,16.161323003116845,4.838676996883155,4.838676996883155,1.076271653887905,False
2026-02-24,22.0,19.285714285714285,19.396183261380415,17.79774794632069,4.2022520536793095,4.2022520536793095,0.9347110317098299,False
2026-02-25,16.0,20.285714285714285,19.53633170002631,16.98916410001161,-0.9891641000116103,0.9891641000116103,-0.22002073760488813,False
2026-02-26,21.0,19.857142857142858,18.460870906622887,17.45730607139159,3.5426939286084114,3.5426939286084114,0.7880048732779855,False
2026-02-27,19.0,20.0,16.2524034585255,16.178206983173567,2.821793016826433,2.821793016826433,0.6276541788396759,False
2026-03-02,21.0,20.285714285714285,19.908082745852397,18.639197340556365,2.3608026594436353,2.3608026594436353,0.5251156430609172,False
2026-03-03,21.0,20.142857142857142,20.625658761940453,19.169911563341223,1.8300884366587766,1.8300884366587766,0.4070683597505353,False
2026-03-04,18.0,20.142857142857142,20.447811540630322,17.84105473627017,0.1589452637298301,0.1589452637298301,0.03535435036939798,False
2026-03-05,19.0,19.714285714285715,20.55285996150053,19.85393500702036,-0.8539350070203611,0.8539350070203611,-0.1899415982737848,False
2026-03-06,18.0,19.285714285714285,16.561338280694894,16.3517185073507,1.6482814926493,1.6482814926493,0.36662886349082857,False
2026-03-09,16.0,19.571428571428573,18.537752155860876,16.88878664543883,-0.8887866454388309,0.8887866454388309,-0.1976936822722645,False
2026-03-10,17.0,18.857142857142858,19.763974471232164,18.05495068999063,-1.0549506899906298,1.0549506899906298,-0.23465371311575062,False
2026-03-11,19.0,18.571428571428573,19.95933910692982,17.42332050826095,1.5766794917390499,1.5766794917390499,0.35070236044237163,False
2026-03-12,19.0,18.285714285714285,19.97944807031816,19.019809284698244,-0.019809284698244056,0.019809284698244056,-0.004406198557632373,False
2026-03-13,20.0,18.0,17.16314371766558,17.06461894885449,2.9353810511455087,2.9353810511455087,0.6529196763376938,False
2026-03-16,21.0,18.285714285714285,18.949310446608393,17.41219414759446,3.587805852405541,3.587805852405541,0.798039162581958,False
2026-03-17,21.0,18.571428571428573,20.31395791118075,18.68758423606319,2.3124157639368086,2.3124157639368086,0.5143528985984992,False
2026-03-18,20.0,19.0,19.705178829959298,16.86052400895158,3.139475991048421,3.139475991048421,0.6983167133089475,False
2026-03-19,20.0,19.571428571428573,21.132335946251928,20.741362733577294,-0.7413627335772937,0.7413627335772937,-0.1649020374602533,False
2026-03-20,20.0,20.0,17.53043179337959,17.287335217876386,2.712664782123614,2.712664782123614,0.6033806789294469,False
2026-03-23,18.0,20.142857142857142,19.85091587794022,18.453811959841783,-0.4538119598417829,0.4538119598417829,-0.10094183779732502,False
2026-03-24,17.0,20.0,20.30041393099619,18.849178867380765,-1.8491788673807648,1.8491788673807648,-0.41131466291559915,False
2026-03-25,18.0,19.571428571428573,20.03894080330173,17.452814030713338,0.5471859692866623,0.5471859692866623,0.12171110998476795,False
2026-03-26,18.0,19.142857142857142,20.477400909075065,19.824849943640892,-1.824849943640892,1.824849943640892,-0.40590315662830356,False
2026-03-27,19.0,18.714285714285715,17.01146186473,16.96192605736114,2.03807394263886,2.03807394263886,0.4533307791370928,False
2026-03-30,18.0,18.571428571428573,19.987389439212727,18.73007439615689,-0.7300743961568905,0.7300743961568905,-0.1623911615342661,False
2026-03-31,21.0,18.285714285714285,20.72503927391993,19.47593718183524,1.5240628181647615,1.5240628181647615,0.3389987823100934,False
2026-04-01,22.0,18.428571428571427,19.391887819889437,16.94525284452193,5.0547471554780685,5.0547471554780685,1.1243323504577662,False
2026-04-02,19.0,19.0,17.15086673430384,15.781760270497788,3.218239729502212,3.218239729502212,0.7158362086393161,False
2026-04-03,0.0,19.285714285714285,13.775470742709805,12.931723907676504,-12.931723907676504,12.931723907676504,-2.876415988647743,True
2026-04-06,0.0,16.714285714285715,13.771872721106217,11.019763132618138,-11.019763132618138,11.019763132618138,-2.4511366846424543,True
2026-04-07,21.0,14.142857142857142,20.772474963346873,19.57603992630732,1.4239600736926796,1.4239600736926796,0.316732831013678,False
2026-04-08,21.0,14.428571428571429,21.151947551210192,19.02469489758609,1.975305102413909,1.975305102413909,0.4393690446536688,False
2026-04-09,20.0,14.857142857142858,19.887400125555324,19.223552777576053,0.7764472224239469,0.7764472224239469,0.17270591460706902,False
2026-04-10,18.0,14.714285714285714,17.747500770743144,17.83603932076035,0.16396067923965063,0.16396067923965063,0.03646993414346818,False
2026-04-13,18.0,14.142857142857142,19.98419619216795,18.86974131753671,-0.869741317536711,0.869741317536711,-0.19345741137150882,False
2026-04-14,19.0,14.0,20.195122542664542,18.883808117248343,0.11619188275165726,0.11619188275165726,0.02584467404995819,False
2026-04-15,20.0,16.714285714285715,20.021171393258925,17.751644193306795,2.248355806693205,2.248355806693205,0.5001039796946389,False
2026-04-16,19.0,19.571428571428573,19.925466828097612,19.31165726500837,-0.3116572650083711,0.3116572650083711,-0.06932223007917397,False
2026-04-17,18.0,19.285714285714285,17.458975715584607,17.585635526172027,0.41436447382797326,0.41436447382797326,0.09216749492609158,False
2026-04-20,20.0,18.857142857142858,19.509940894857476,18.310758693538734,1.6892413064612661,1.6892413064612661,0.3757395949124015,False
2026-04-21,20.0,18.857142857142858,21.714139351840895,20.84219131082699,-0.8421913108269905,0.8421913108269905,-0.18732943645084482,False
2026-04-22,20.0,19.142857142857142,21.581860904870467,19.899439933831136,0.10056006616886393,0.10056006616886393,0.02236767380843088,False
2026-04-23,19.0,19.428571428571427,20.270577177518263,19.738516143808532,-0.7385161438085319,0.7385161438085319,-0.16426886771564356,False
2026-04-24,21.0,19.428571428571427,18.539208253850415,18.89642757415973,2.1035724258402695,2.1035724258402695,0.4678996707758071,False
2026-04-27,21.0,19.571428571428573,19.799384800246035,18.610509457008277,2.389490542991723,2.389490542991723,0.531496717038935,False
2026-04-28,18.0,19.857142857142858,21.042306276608805,19.9850382172944,-1.9850382172943988,1.9850382172943988,-0.44153399090998097,False
2026-04-29,17.0,19.857142857142858,21.199472990360537,19.100351033255247,-2.1003510332552473,2.1003510332552473,-0.4671831332744327,False
2026-04-30,22.0,19.428571428571427,18.170510100988643,17.13438806795837,4.865611932041631,4.865611932041631,1.0822628178422358,False
2026-05-01,0.0,19.714285714285715,13.773779291596288,13.396333273449033,-13.396333273449033,13.396333273449033,-2.979759503999959,True
2026-05-04,16.0,16.857142857142858,19.464762704564766,18.60255998192659,-2.602559981926589,2.602559981926589,-0.5788899606018166,False
2026-05-05,14.0,16.428571428571427,21.425542249599687,20.801812650048454,-6.801812650048454,6.801812650048454,-1.5129338360504128,False
2026-05-06,14.0,15.428571428571429,21.20118916486474,19.784866134821584,-5.784866134821584,5.784866134821584,-1.2867334286738104,False
2026-05-07,12.0,14.428571428571429,21.174806263826273,21.38853328703975,-9.388533287039749,9.388533287039749,-2.088300635676411,True
2026-05-08,11.0,13.571428571428571,17.73460043671896,18.422897133920056,-7.422897133920056,7.422897133920056,-1.6510822648649817,False
2026-05-11,18.0,12.714285714285714,21.075150735783122,20.678629133736752,-2.6786291337367523,2.6786291337367523,-0.5958100963912715,False
2026-05-12,19.0,12.142857142857142,21.56636758352057,21.13482318013896,-2.1348231801389588,2.1348231801389588,-0.47485080659990947,False
2026-05-13,19.0,14.857142857142858,20.203199834905973,18.385572217290644,0.614427782709356,0.614427782709356,0.13666777226858687,False
2026-05-14,0.0,15.285714285714286,13.771872721106217,11.89592976614571,-11.89592976614571,11.89592976614571,-2.6460232853301107,True
2026-05-15,18.0,13.285714285714286,15.442777043683815,15.695892305448341,2.304107694551659,2.304107694551659,0.5125049266045988,False
2026-05-18,16.0,13.857142857142858,20.50946835495465,20.03247912475164,-4.032479124751639,4.032479124751639,-0.8969482731871844,False
2026-05-19,16.0,14.428571428571429,21.94052828460268,21.551838660316886,-5.551838660316886,5.551838660316886,-1.2349008997515352,False
2026-05-20,15.0,15.142857142857142,21.91190954386163,20.70480962977522,-5.7048096297752195,5.7048096297752195,-1.268926382006666,False
2026-05-21,16.0,14.714285714285714,21.1033864474135,21.435205159384477,-5.435205159384477,5.435205159384477,-1.2089579961379815,False
2026-05-22,19.0,14.285714285714286,18.07565746105369,18.663711949708095,0.33628805029190545,0.33628805029190545,0.0748008797246749,False
2026-05-25,17.0,14.285714285714286,20.616137064918473,20.252344539290114,-3.252344539290114,3.252344539290114,-0.7234221748155253,False
2026-05-26,16.0,16.714285714285715,22.560176154358018,22.560236361324034,-6.5602363613240335,6.5602363613240335,-1.4591997860253718,False
2026-05-27,19.0,16.428571428571427,14.645328436676731,11.205967274512359,7.794032725487641,7.794032725487641,1.7336343172566608,False
